"Code","Branch Name","Phone Number","Address","Lat","Long","District","Thana","Google Map"
"0011","Sutrapur Dhaka","001847099011","মোঃ ওহাব মিয়া। ৬৪ নং এস কে দাস রোড (ভাট্টিখানা), ডাকঘর-ফরিদাবাদ, থানা-গেন্ডারিয়া, জেলা-ঢাকা। 01719588688","23.7040636","90.4201642","Dhaka","Sutrapur","Map"
"0012","Khilkhet Dhaka","001847099012","বিলকিছ আক্তার, পিতা: মৃত-সাদেক আলী, মাতা:-আতর বানু।স্বামী:- সৈয়দ ইকবাল হোসেন (স্বপন)ক-৬/১ , আমতলা কাঁচা বাজার মোড়, খিলক্ষেত, ঢাকা। বাড়ির মালিকের মোবাঃ-০১৯৩৯-৪২৯৫৫০,","23.83134","90.42725","Dhaka","Khilkhet","Map"
"0013","Gandaria Dhaka","001847099013","জনাব প্রফেসর মোঃ আবুল আজাদ, ৪ নং অক্ষয় দাস লেন, গেন্ডারিয়া, সুত্রাপুর, ঢাকা","23.7108157","90.420391","Dhaka","Sutrapur","Map"
"0014","Mogbazar Dhaka","001847099014","মোঃ মতিউল আলম চৌধুরী, পিতাঃ আব্দুল মতিন চৌধুরী, ৬৮/এ সোনালী বাগ, পোঃশান্তিনগর, থানাঃ-রমনা, জেলাঃ ঢাকা, (মগবাজার ফ্লাইওভার এর ঢালে নেমে, হাতের বাম পাশে (ডাচ বাংলা  বুথের) পাশ দিয়ে  সোনালীবাগ চান বেকারি গলি, জনতা ব্যাংকের সামনের বিল্ডিংয়ের  নিচ  তলায়। ) মোবাইল নং ০১৭১৫৭৩২৫৩৩।।","23.751539","90.410365","Dhaka","Vatara","Map"
"0015","Pallabi-2 Dhaka","001847099015","উম্মে সালমা চৌধুরী, বাড়ি নং-০৫, রোড নং-০৪, ব্লক-এ, পল্লবী, মিরপুর-১১, ঢাকা","23.8167174","90.3667701","Dhaka","Pallabi","Map"
"0016","Khulshi Chattogram","001847099016","জনাবা সানোয়ারা করিম, ৫৩/এ, রোড়-০১, দক্ষিন খুলশী আবাসিক এলাকা,  পো.-খুলশী, থানা-খুলশী, জেলা- চট্রগ্রাম ।","22.3584064","91.8122648","Chattogram","Khulshi","Map"
"0017","Bakolia Chattogram","001847099017","মৃগাঙ্গ দত্ত, পিতা: মৃত অরুন বিকাশ দত্ত, এ/৭২ দত্ত কুঠির, কল্পলোক আ/এ, বাকলিয়া চট্রগ্রাম","22.3407102","91.8547628","Chattogram","Bakolia","Map"
"0018","Foillatolibazar-Halishahar Chattogram","001847099018","জনাব মোঃ জাহাঙ্গীর, কলেজ  রোড, পোঃ কাস্টম থানাঃ পাহাড়তলী, জেলা –চট্রগ্রাম (ফইল্যাতলী বাজার ফজলুল হাজেরা ডিগ্রী কলেজ পাশে)","22.346673","91.774959","Chattogram","Halishahar","Map"
"0019","Pagla  Narayanganj","001847099019","সাইফুদ্দিন শাহিন মিয়ার বাড়ি, পাগলা নয়ামাটি রেললাইন সংলগ্ন (নন্দলাল পুর রোড) কুতুব পুর, ফতুল্লা, নারায়ণগঞ্জ ।","23.6632584","90.4635424","Narayanganj","Fatulla","Map"
"0020","Gazibari-Tongi Gazipur","001847099020","মোঃআমির হামজা,তিতাস গ্যাস রোড, বাড়ী- ২৪, ওয়ার্ড- ৫৫, মাছিমপুর, পোস্ট: মন্নুনগর-১৭১০, টঙ্গী, গাজীপুর","23.892725","90.405637","Gazipur","Tongi","Map"
"0021","Oxygen  Chattogram","001847099021","জাহাঙ্গীর  আলম ,অক্সিজেন ,জালালাবাদ, চট্রগ্রাম","22.3953","91.82045","Chattogram","Bayezid Bostami","Map"
"0022","Nitaiganj  Narayanganj","001847099022","তাসলিমা আলী ৯৬/৪ শাহসুজা রোড,আমহাত্তা জল্লার পাড়ের সাথের গলিতে , নারায়ণগঞ্জ","23.608709","90.500484","Narayanganj","Narayanganj Sadar","Map"
"0023","Signboard Narayanganj","001847099023","মোঃজাকের হোসাইন, জাকের মহল,  হোল্ডিং ং -১১, সেক্টর -১, প্রধান সড়ক , তুষারধারা আবাসিক এলাকা ওয়া্র্ড নং-৬৫, থানা- কদমতলী , পোষ্ট কোড- ১৩৬২, সাদ্দাম মার্কেট, সাইনবোর্ড, নারায়ণগঞ্জ ।","23.690978","90.4730684","Narayanganj","Shiddhirganj","Map"
"0024","Cheragali  Gazipur","001847099024","চেরাগ আলী ট্রাক ইস্টান এর পশ্চিম পাশে,  হাউজ # ৬৫,    বেপারী বাড়ি রোড, বেপারী বাড়ি (লতিফ বেপারীর  বাসা ), আউসপাড়া, টংগী, গাজীপুর।","23.9046491","90.39608270","Gazipur","West Tongi","Map"
"0026","Ponchoboti Narayanganj","001847099026","মো:মাসুম, হরিহর পাড়া শান্তিনগর, ডাকঘর-এনায়েতনগর,থানা-ফতুল্লা, নারায়নগঞ্জ।মোবাইল ০১৯৮৭৮৩৩৭১৮","23.6311","90.4714","Narayanganj","Shiddhirganj","Map"
"0027","Chittagong-Road Narayanganj","001847099027","হাজী মোঃ আয়াত আলী ভূইয়া ,দক্ষিন নিমাই কাশারী (ক্যানেল রোড)হোল্ডিং নং -১১/১,ব্লক নং -এ ,৩ নং ওয়াড সিদ্ধিরগঞ্জ","23.697055","90.498934","Narayanganj","Rupganj","Map"
"0028","Zinzira  Dhaka","001847099028","রুনা আক্তার, বন্দ মান্দাইল, মনু ব্যাপারীর ঢাল, জিঞ্জিরা-নবাবগঞ্জ রোড, জিঞ্জিরা, কেরানীগঞ্জ, ঢাকা-১৩১০","23.7007804","90.3848137","Dhaka","Keraniganj","Map"
"0029","Bandar Narayanganj","001847099029","মোঃ মোশারফ হোসেন, ২/১ এইচ এম সেন রোড, সৈয়দ ভিলা, বন্দর, নারায়ণগঞ্জ","23.6138289","90.5125574","Narayanganj","Rupganj","Map"
"0030","Khalishpur Khulna","001847099030","নুরজাহান পলি, ওয়েস্ট জোন নর্থ-বি-১৯, গোয়ালখালি, কবরস্থানের পাশে, খালিশপুর, খুলনা","22.85529","89.53580","Khulna","Khulna Sadar","Map"
"0031","Daulatpur Khulna","001847099031","মোঃ আক্তার হোসেন, দেয়ানা বাউন্ডারী রোড, আমতলা, দৌলতপুর-খুলনা, মোবাইলঃ০১৯৭৬-৬৪৬৬৪৬ ।","22.86904","89.51980","Khulna","Khulna Sadar","Map"
"0032","Chatipotti Cumilla","001847099032","গোলাম রাব্বানী, চকবাজার,গর্জনখোলা পোঃ-কুমিল্লা সদর থানাঃ-কুমিল্লা সদর জেলাঃ-কুমিল্লা।","23.463186","91.192355","Cumilla","Cumilla Sadar South","Map"
"0033","Sadar Cumilla","001847099033","ইসলাম সিদ্দিক, পিতা-মোহাম্মদ ইসমাঈল, বাড়ি নং-৪৪, জজ কোর্ট, কুমিল্লা সদর, কুমিল্লা .।","23.4700226","91.1805024","Cumilla","Cumilla Sadar","Map"
"0034","Muhuripara-Halishahar Chattogram","001847099034","আলহাজ আনোয়ার, ২৪নং ওয়ার্ড মহুরীপাড়া উত্তরা আবাসিক, পো: বন্দর, থানা-হালিশহর, জেলা- চট্রগ্রাম","22.331255","91.800706","Chattogram","Halishahar","Map"
"0035","Sadar Munshiganj","001847099035","মুক্তার পুর,পঞ্চসার ইউনিয়ন, সান শাইন স্কুল এর গলি, মুন্সিগঞ্জ সদর, মুন্সিগঞ্জ।","23.5656365","90.5136342","Munshiganj","Munshiganj Sadar","Map"
"0036","Mirkadim  Munshiganj","001847099036","খাদিজা বেগম ,স্বামীর নামঃ মোঃজাকির হোসেন,  তেলির বিল(পুকুরপাড়), মিরকাদিম, মুন্সিগঞ্জ।","23.556277","90.5005303","Munshiganj","Munshiganj Sadar","Map"
"0038","Thanaroad-Savar Dhaka","001847099038","মোছা: রাহেলা বেগম, স্বামী: মৃত্য আ: মালেক, সাং: বি/৭, উত্তর তালবাগ, সাভার ঢাকা ।","23.8391211","90.2542917","Dhaka","Savar","Map"
"0039","Savar  Dhaka","01847372342","জনাব ফাতেমা আক্তার, স্বামী:- মো: মাহবুব কবির ( সুমন ) , ঠিকানা:-৩৭ ওয়াবদা রোড, সাভার , ঢাকা ।","23.8488608","90.2563009","Dhaka","Savar","Map"
"0040","Sadar Coxs bazar","001847099040","মোঃ জয়নাল, জয়নাল ম্যানসন, উত্তর রুমালিয়ার ছড়া, কক্সবাজার ।","21.441339","91.989769","Coxsbazar","Coxs Bazar Sadar","Map"
"0041","Biman Bandor Coxsbazar","001847099041","মোঃ মঈনুল হোসেন, মিন্টু ম্যানসন,বিমান বন্দর সড়ক, ৩নং ওয়ার্ড, নতুন বাহার ছাড়া,কক্সবাজার","21.445270","91.969922","Coxsbazar","Coxs Bazar Sadar","Map"
"0042","Basabo Dhaka","001847099042","মোকলেসুর রহমান রানা,মোবাইল নং-০১৬৭০৭২৬১১৪,পেশা- ব্যবসা, এলাকায় স্থানীয়,পিতা মৃত-রমিজ উদ্দীন হাওলাদার করম আলী, হোল্ডিং নং ৮৭/২/এ,পশ্চিম মাদারটেক, প্রিমিয়ার ব্যাংকের ২য় তলায়  ঢাকা","23.7422897","90.4378192","Dhaka","Khilgaon","Map"
"0043","Dholaipar Dhaka","001847099043","মোঃ পারভেজ, সরাইল মসজিদ রোড,  ,ডাকঘরঃদনিয়া ,থানাঃকদমতলী জেলাঃঢাকা ।(নতুন ব্রাইট স্কুলের সামনে)। - 018470990043.","23.7016506","90.4409515","Dhaka","Kadamtali","Map"
"0044","Dhakamatch-Factory Narayanganj","001847099044","হনুফা আক্তার পলি, স্বামী নামঃ এডঃ বি এম  হোসন, ০৬ নং ঢাকা ম্যাচ রোড, শ্যামপুর, কদমতলী, ঢাকা","23.67934131","90.440813","Dhaka","Kadamtoli","Map"
"0045","Chashara Narayanganj","001847099045","মোঃ আরিফ পাঠান, ৪৪/৩ মহল্লা-উত্তর চাষাড়া, ওয়ার্ড নং-১২,ভাষা সৈ্নিক এ কে এম সামসুজ্জোহা রোড,রামবাবু পুকুর পাড়। হোল্ডিং নং-পুরাতন-৩৯,নতুন-৪২,  নারায়নগঞ্জ","23.626353","90.499541","Narayanganj","Narayanganj Sadar","Map"
"0046","Sonakanda Narayanganj","001847099046","মোঃ মামুন রানা  পিতা মোঃ  মনির উদ জামান গ্রামঃ সোনাবিবি রোড সোনাকান্দা ডাকঘরঃ বন্দর, উপজেলাঃ বন্দর, জেলাঃ নারায়ণগঞ্জ","23.603971","90.5153","Narayanganj","Rupganj","Map"
"0047","Joydebpur Gazipur","001847099047","মোঃ আব্দুল কুদ্দুস, বাড়ী নং-কে-৩১৭, পশ্চিম জয়দেবপুর, গাজীপুর","24.000551","90.4145069","Gazipur","Joydebpur","Map"
"0048","Ershadnagar Gazipur","001847099048","দত্ত পাড়া,লেদু মোল্লা রোড,হোসেন মার্কেট,টঙ্গি,গাজীপুর।","23.9136876","90.39836335","Gazipur","West Tongi","Map"
"0049","Halishahar Chattogram","001847099049","আহছানুল হক, বাড়ী নং-৬, রোড-০৬, ব্লক-জি, হালিশহর, চট্টগ্রাম","22.3286997","91.7885906","Chattogram","Halishahar","Map"
"0050","Moylapota Khulna","001847099050","শেখ আজাদ আল মামুন, বাসা/ হোল্ডিং: গোবরচাকা মেইন রোড ,  মোল্লার মোড় ,খুলনা-৯১০০, সোনাডাঙ্গা, খুলনা,","22.81950","89.54988","Khulna","Khulna Sadar","Map"
"0051","Rupshaghat Khulna","001847099051","মো: আনোয়ার হোসেন, বাসা/ হোল্ডিং:  ৩/০১ সস্পল, রুপসা ট্রাফিক মোড় খুলনা সদর, খুলনা","22.80067","89.57915","Khulna","Khulna Sadar","Map"
"0052","Shibbati  Bogura","001847099052","মনোয়ারা বেগম, বগুড়া পৌরসভার মেয়র মোঃ রিজাউল করিম বাদশার  বাসার দ্বিতীয় তলায়। শিববাটি বগুড়া সদর, বগুড়া ।","24.857714971327734","89.37479492745706","Bogura","Bogra Sadar","Map"
"0053","Khandar Bogura","001847099053","মোঃ হাবিবুর রহমান, খালেদা ভিলা হাউজ, ডি/২/৬৪, ব্লক-জি, গোহাইল রোড, গোহাইল রোড, খান্দার গ্রামীন ব্যাংক অফিসের পাশে, খান্দার, বগুড়া।","24.8339508","89.3687342","Bogura","Bogra Sadar","Map"
"0054","Sadar Bogura","001847099054","মো: সাহিদুল ইসলাম, পিতা: মো: আমির আলী সরকার, নিশিনদারা মন্ডল পাড়া, ফুলবাড়ি প্লাজা, সান্তাহার রোড,(এল, জি,ই,ডি অফিসের পূর্ব পাশে) , বগুড়া ।","24.85641440305167","89.35367611692016","Bogura","Bogra Sadar","Map"
"0055","Sadar Manikganj","001847277230","মোঃ আফছার আলী  পিতা :মৃত মোঃ দবির উদ্দিন নতুন পাসপোর্ট আফিস, বান্দুটিয়া, মানিকগঞ্জ সদর, মানিকগঞ্জ","23.8503437","89.9991721","Manikganj","Manikganj Sadar","Map"
"0056","Kotwali Chattogram","001847099056","মো-রফিক আহাম্মদ চৌধুরী, পিতা-মরহুম-আব্দুল মান্নান, মাতা-মরহুমা নুরজাহান বেগম, কোতয়ালী  সংলগ্ন (সাব এরিয়া )চট্টগ্রাম","22.3416711","91.8347437","Chattogram","Kotwali","Map"
"0057","Agrabad  Chattogram","001847099057","মোঃ সরোয়ার খান বালি, পিতার নামঃ সুলতান আহমদ খান,  খানবাডী চৌমুহনী, আগাবাদ, চট্টগ্রাম।","22.3339","91.81324","Chattogram","Double Mooring","Map"
"0058","Boalia Rajshahi","001847099058","বাসা/হোল্ডিং নং ১৪৯/৩ নূর মোহাম্মদ মন্জিল,গ্রাম/মহল্লাঃ বালিয়া পুকুর,  ডাকঘরঃ ঘোড়ামারা -৬১০০, থানাঃ বোয়ালিয়া, জেলাঃ রাজশাহী।","24.3695823","88.6193007","Rajshahi","Boalia","Map"
"0059","Rasulpur-Kamrangirchar  Dhaka","001847099059","শরীফ মোফাজ্জেল হোসেন, রাতুল ভিলা, ৪৯৩ নং  বিদ্যুৎ অফিস রোড, চান মসজিদ রোড, কামরাঙ্গিরচর, ঢাকা । 01847099059","23.719530","90.370528","Dhaka","Kamrangirchor","Map"
"0060","Bissobiddaloy Rajshahi","001847099060","মোঃ খলিলুর রহমান , বাসা#৬৯, গ্রামঃচৌদ্দপাই, ডাকঘরঃ বিনোদপুর বাজার-৬২০৬, থানাঃ মতিহার, রাজশাহী সিটি কর্পোরেশন, রাজশাহী","24.3667803","88.6569756","Rajshahi","Motihar","Map"
"0061","Sadar  Natore","001847099061","মোঃরেজাউল করিম, বাসা#০১১৩/১, গ্রামঃবনবেলঘরিয়া, ডাকঘরঃ-নাটোর, থানাঃ-নাটোর, সদর, নাটোর","24.4074959","88.9611725","Natore","Natore Sadar","Map"
"0062","Bolaripara Natore","001847099062","মো: আবুল কালাম আজাদ । বলারীপাড়া (বলারীপাড়া মসজিদ সংলগ্ন).,যুব উন্নয়ন মোড়, বলারী পাড়া, নাটোর","24.4144556","89.002743","Natore","Natore Sadar","Map"
"0063","Palbari, Jashore (0063)","001847099063","অধ্যাপক ডাঃ মো: হারুন অর রশীদ  ,পিতার নাম: মৃত্যু দৌলত আলী ব্যাপারী ,ঠিকানা –গ্রাম/মহল্লাঃ কাঠাল তলা,কাজীপাড়া,পুরাতন কসবা ঢাকা রোড,  ডাকঘর: যশোর -৭৪০০,যশোর সদর, যশোর।","23.1781885","89.199065","Jashore","Jashore Sadar","Map"
"0064","Mikepatti Jessore","001847099064","অধ্যাপক ডাঃ মো: হারুন অর রশীদ  ,পিতার নাম: মৃত্যু দৌলত আলী ব্যাপারী ,ঠিকানা –গ্রাম/মহল্লাঃ কাঠাল তলা,কাজীপাড়া,পুরাতন কসবা ঢাকা রোড,  ডাকঘর: যশোর -৭৪০০,যশোর সদর, যশোর।","23.1781885","89.199065","Jessore","Jessore Sadar","Map"
"0066","Rajshahi","001847099066","মো: খায়রুল আলম , পিতার নামঃ মৃত শামছুল হক  ,ঠিকানা –গ্রাম/মহল্লাঃ  শাহমুখদুম থানার মোড়,ডাকঘর:- সপুরা ৬২০০ ,রাজশাহী","24.3939121","88.6071228","Rajshahi","Shahmokdum","Map"
"0067","Rajpara Rajshahi","001847099067","মোসাঃ মাহমুদা খাতুন, স্বামীঃ মোঃ আব্দুল মমিন, পিতার নামঃ আলহাজ গোলাম কিবরিয়া, ,ঠিকানা –গ্রাম/মহল্লাঃ ২৪৪, হড়্গ্রাম বাজার, ডাকঘর: রাজশাহী কোর্ট -৬২০১, রাজপাড়া, রাজশাহী ।","24.383705167201125","88.56572321189144","Rajshahi","Rajpara","Map"
"0068","Pallibidyut-Savar Dhaka","001847099068","মোঃ হাজী আবু তালেব মিয়া, পূর্ব ডেন্ডার,কবরস্থান রোড়,পল্লীবিদ্যুত,আশুলিয়া,সাভার,ঢাকা","23.922552","90.265030","Dhaka","Savar","Map"
"0069","Palashbari-Ashulia Dhaka","001847099069","নুরুল আমিন চৌধুরী পিতার নাম;-মৃত রজ্জব আলী চৌধুরী, ঠিকানা:- পলাশ বাড়ী  আশুলিয়া ঢাকা।পলাশী দরবার শরীফের পাশে ২তলা ফ্ল্যাট এর নীজ তলায়","23.9294469","90.2632658","Dhaka","Savar","Map"
"0070","Sadar Barisal","001847099070","বাহউদ্দিন আহমেদ, কাকলির মোড় সার্কিট হাউসের বিপরীতে আশরাফ মঞ্জিল, পতাং, সাকির্ট হাউজের দক্ষিণ পাশে, বরিশাল সদর, বরিশাল","22.699469","90.369152","Barishal","Barisal Sadar","Map"
"0071","Law-College Barisal","001847099071","মোঃ ইউনুছ মিয়া, স্ব-রোড ,০৪ নং ওয়াড, বরিশাল সদর, বরিশাল","22.7106875","90.3753124","Barishal","Barisal Sadar","Map"
"0072","Goalchamot Faridpur","001847099072","মোঃ ইউছুব মিয়া( মালিক ),পিতার নাম, আঃওহাব মাতুব্বর  ,ঠিকানা –গ্রাম/মহল্লাঃ পশ্চিম খাবাস্পুর ( গোয়ালচামোট) ডাকঘরঃ ফরিদপুর-৭৮০০,ফরিদপুর সদর,ফরিদপুর","23.5896569","89.82699799","Faridpur","Faridpur Sadar","Map"
"0073","Sadar Faridpur","001847099073","আব্দুর রাজ্জাক মিয়া, বাদামতলী সড়ক ,পুর্ব আলীপুর, ফরিদপুর-৭৮০০, ফরিদপুর সদর, ফরিদপুর পৌরসভা, ফরিদপুর, মোবাইলঃ ০১৮৩৯৮৬১৬৮৪","23.6063703","89.83687359","Faridpur","Faridpur Sadar","Map"
"0074","Sadar Pabna","001847099074","পাবনা  কমিউনিটি হাস্পাতাল সংলগ্ন, নুরপুর বাইপাস, পাবনা সদর,পাবনা।","24.0273227","89.239248","Pabna","Pabna Sadar","Map"
"0075","Librarybazar Pabna","001847099075","মো-রাসেল  আহম্মেদ বারী মহল্লাঃ  চক-ছাতিয়ানী বিসিক রোড (পাসপোর্ট অফিস সংলগ্ন )পাবনা সদর, পাবনা ।","24.006505","89.2195479","Pabna","Pabna Sadar","Map"
"0076","Citycentre-Syedpur Nilphamari","001847099076","জনাব মোঃশামীম আক্তর, পিতা : মৃত্যু নাঈম, বাসা/হোল্ডিং ৬৭ পৌরসভা রোড-০১ নতুনবাবুপাড়া. থানা: সৈয়দপুর. জেলা:নীললফামারী,","25.77932512767548","88.88951276499927","Nilphamari","Nilphamari Sadar","Map"
"0077","Syedpur  Nilphamari","001847099077","মোঃ সাইফুল ইসলাম, পিতা :মৃত্যু নিজাম উদ্দীন আহম্মেদ, বাসা/হোল্ডিং ৩২ শহীদ বি-জামান রোড-নতুন বাবুপাড়া, সৈয়দপুর, ৫৩১০ সৈয়দপুর,নীললফামারী,","25.782298","88.891795","Nilphamari","Saidpur","Map"
"0078","Santahar Naogaon","001847099078","নামঃ তোকন আরা রুনা, পিতার নামঃ মৃতঃ আনিসুর রহমান, মাতাঃ দিল আফরোজা খতুন , ঠিকানা– গ্রাম/মহল্লাঃ সাহাপুর,  ডাকঘরঃ সান্তাহার -৫৮৯১,থানাঃ নওগাঁ সদর ,জেলাঃ নওগাঁ","24.8042614","88.9707425","Naogaon","Naogaon Sadar","Map"
"0079","Sadar Naogaon","001847099079","মোঃ ওসমান গনী,  পিতার নামঃমৃত হাজী ফায়েজ উদ্দীন ,ঠিকানা –গ্রাম/মহল্ আরজি নওগাঁ, (ইদুর বটতলী), ডাকঘর: নওগাঁ থানা + জেলা : নওগাঁ","24.804914","88.934682","Naogaon","Naogaon Sadar","Map"
"0080","Trunk-Raod Feni","001847099080","মো:মমিনুলহক (দিদার) ,বাড়ীঃ হক প্লাজা-২মৌলভী মাজহারুল হক , বাইলেইন ১৯৪/২ ,শহীদ শহীদুল্লাহ কায়সার সড়ক , ফেনী","23.008664","91.396531","Feni","Feni Sadar","Map"
"0081","Sadar Feni","001847099081","মোঃমিজানুর রহমান , বাসা/হোল্ডিংঃ৬১, গ্রাম/রাস্তাঃ৬১-গুদাম কোয়ার্টার, ডাকঘরঃফেনী-৩৯০০, ফেনী সদর, ফেনীপৌরসভা, ফেনী,","23.017420","91.401039","Feni","Feni Sadar","Map"
"0083","Sadar Jamalpur","001847099083","মির  মোহাম্মদ ফরিদুর রহমান, উত্তর কাচারি পাড়া, চামড়া গুদাম মোড়,জামালপুর","24.92643","89.94388","Jamalpur","Jamalpur Sadar","Map"
"0084","Mirpur 1 Dhaka","001847099084","ব্লক- সি , রোড-১, বাসা-১৫, মিরপুর-১, ঢাকা। ঢাকা-১২১৬","23.8038961","90.3486861","Dhaka","Pallabi","Map"
"0085","Lalkuthi, Mirpur Dhaka","001847099085","মোঃ কামাল হোসেন খান , পিতাঃ মৃত পির মোহাম্মদ খান ,বাড়ী নং-২২৮/এ লালকুঠিবাজার, মিরপুর-১ ঢাকা-১২১৬","23.78885","90.34717","Dhaka","Pallabi","Map"
"0087","Mohammadpur Dhaka","001847099087","মোঃ শুকুর কোম্পানির বাড়ি, (৪১/ সি -শেরে বাংলা রোড, কাটাশুর , মো:পুর ,ঢাকা-১২০৭, মোবাঃ01847099087/01844504087","23.7544843","90.3617979","Dhaka","Lalbag","Map"
"0089","Lalbagkella Dhaka","001847099089","মো: মনির হোসেন, পিতা মৃত:আব্দুল মালেক, বাড়ী নং-৪৩/বি-৫ (২য় তলা), আর এন ডি রোড,(কেল্লার মোড়)শহিদনগর,লালবাগ,ঢাকা-১২১১","23.7156776","90.3834545","Dhaka","Lalbag","Map"
"0090","Ronymarket-Kamrangirchar  Dhaka","001847099090","জনাব শরীফ মোঃ মোশারফ হোসেন, ৭৯৬,পশ্চিম রসুলপুর, কামরাঙ্গীরচর, ঢাকা","23.719078","90.372726","Dhaka","Kamrangirchor","Map"
"0092","Jawlahati -Kamrangirchar  Dhaka","00184709909","ঝাউলাহাটী চৌরাস্তার পশ্চিম পাশে ২য় তলায় (মেম্বারবাড়ী ,ভোলা মেডিকেল ফার্মেসির পিছনের তিন তলা বিল্ডিং ) , কামরাঙ্গীচর, ঢাকা। 01847099092","23.7245498","90.3619752","Dhaka","Kamrangirchor","Map"
"0093","Kadamtali-Keraniganj Dhaka","001847099093","হাজী মো: ইকবাল হোসেন চেয়ারম্যান , পিতা: মৃত আলহ্বজ হেলাল উদ্দিন, কেরানীগঞ্জ মডেল থানা সংলগ্ন, কেরানীগঞ্জ, ঢাকা","23.706020","90.396563","Dhaka","Keraniganj","Map"
"0094","Kotwali  Dhaka","001847099094","জনাব হাজী মোঃ তোহা মিয়া , ঠিকানা : নাজিরাবাজার, বংশাল রোড, (বাংলা দুয়ার স্কুল সংলগ্ন) , ৫৪/১ (হাজী মোঃ তোহা মিয়ার বাড়ি), ৩য় তলার সামনের দিক (১১০০ স্কয়ার ফিট), কোতয়ালী, ঢাকা। -","23.7192655","90.4080493","Dhaka","Kotwali","Map"
"0096","Maniknagar Dhaka","001847099096","নুর মোহাম্মদ ,পিতাঃ  আবু তাহের , পেশা-  ব্যবসা , গ্রামঃ গোপীবাগ, পোঃ ওয়ারী,  থানা ঃ মতিঝিল, জেলা -ঢাকা","23.7220316","90.4280032","Dhaka","Khilgaon","Map"
"0097","Mugda Dhaka","001847099097","মনিষা হোসেন, পিতা:মো:মনিরহোসেন, মাতাঃ আফসানাহোসেনরুনা,বাড়ীনং-১১১/বি (নিচতলা)উত্তরমুগদা,বড়মসজিদরোড,ঢাকা-১২১১","23.7292450","90.4322120","Dhaka","Khilgaon","Map"
"0098","Alambag-Jurain Dhaka","001847099098","আবু সাঈদ ৯৫ ওয়াসা রোড, শওকত ভিলা, বউ বাজার, জুরাইন, ঢাকা-১২০৪","23.68988","90.43823","Dhaka","Kadamtoli","Map"
